,Prediction,Score,Wiki_Page,Context
4, Facebook,0.9939634799957275,<WikipediaPage 'Meta (entreprise)'>,"


=== Introduction en Bourse (IPO) ===
L'entrée en Bourse du titre Facebook le 18 mai 2012 fut un des événements majeurs de 2012 sur les marchés financiers. L'IPO Facebook a suscité un buzz médiatique. L'action a été inscrite à 38 $ à Wall Street soit une valorisation de 104 milliards de dollars, la plus grande valeur connue à ce jour pour une société nouvellement cotée de manière publique. 421 millions d'actions ont été mises en vente, pour un total de presque 16 milliards de dollars.
L'action baisse dès les premiers jours de cotation. Le 29 mai 2012, vers 12 h 20, l'action coûte 29,52 $, soit une baisse de 22,3 %. Les doutes sur la transparence de la firme s'intensifient et les premiers investisseurs s'estimant floués entament des poursuites à l'encontre des banques émettrices. Les plus petits actionnaires n'étant pas prévenus que l'IPO serait difficile, des centaines d'entre eux ont porté plainte. La SEC et la FINRA, se chargent de l'affaire qui s'impose comme l'une des plus grandes catastrophes financières commises par une entreprise dont l'activité se limite à l'internet du XXIe siècle. L'idée de l'éclatement d'une seconde bulle Internet est en train d'émerger.
Le titre continue de perdre en valeur pour descendre à 19 dollars trois mois après l'IPO. 
Le 28 janvier 2016, l'action cotait 97 dollars à l'ouverture. 
Le 17 mars 2017, un lanceur d'alerte dévoile ce qui deviendra le scandale Facebook-Cambridge Analytica/AggregateIQ, incluant notamment l'accès par un cabinet de conseil et d'influence politique, de manière détournée, aux données personnelles de près de 87 millions d'utilisateurs de Facebook, dont 600 000 comptes utilisateurs au Canada. En date du 4 avril 2018, la valeur en Bourse de Facebook accusait un effacement de plus de 100 milliards de dollars alors que l'action subissait une baisse de près de 16 %.
Le 2 février 2022, l'action Meta perd un quart de sa valeur, faisant perdre à la capitalisation du groupe 210 milliards de dollars. Cette perte de valeur est due à une baisse du nombre d'utilisateurs de Facebook pour la première fois depuis le lancement du site en 2004."
3, Facebook,0.9093338251113892,<WikipediaPage 'Meta (entreprise)'>,"


=== 2012 - 2021 : Intelligence artificielle et intégration des services ===
En février 2014, Facebook annonce l'acquisition de WhatsApp pour 21,9 milliards de dollars, dont 4,59 milliards en cash et 223,7 millions en échange d'actions.
Le 25 mars 2014, Facebook annonce l'acquisition d'Oculus VR, la société à l'origine du casque de réalité virtuelle Oculus Rift, pour 2 milliards de dollars, dont 400 millions en cash. 
Facebook s'intéresse également de près aux nouvelles technologies. Ainsi, en 2014, Mark Zuckerberg, a participé avec l'acteur Ashton Kutcher et l'entrepreneur Elon Musk à une levée de fonds pour soutenir les activités de Vicarious (en), startup spécialisée dans l'intelligence artificielle,. Le groupe a d'ailleurs recruté en décembre 2013, Yann Le Cun, l'un des spécialistes français de l'intelligence artificielle et de la robotique, pour diriger son laboratoire de recherche consacré à ce domaine. En juin 2015, le groupe annonce l'ouverture à Paris d'un laboratoire de recherche consacré à l'intelligence artificielle.
Lundi 9 juin 2014, le groupe annonce avoir embauché David Marcus, le patron de PayPal, la filiale de paiement d'eBay,. Le groupe espère ainsi mieux maîtriser la chaîne de paiements et se positionner comme intermédiaire entre les banques et leurs utilisateurs. 
Le 28 septembre 2016 Google, Facebook, IBM, Microsoft et Amazon officialisent dans un communiqué commun la création du « Partnership on Artificial Intelligence to Benefit People and Society » (« partenariat pour l’intelligence artificielle au bénéfice des citoyens et de la société »). Ce partenariat prendra la forme d’une organisation à but non lucratif, qui « mènera des recherches, recommandera de bonnes pratiques, et publiera les résultats de ses recherches sous une licence ouverte ». 
Le 10 octobre 2016, le groupe lance officiellement son réseau social payant à destination des entreprises nommé Workplace by Facebook. 
En avril 2018, le cabinet d'avocats Koskie Minsky LLP entreprend un recours collectif (action collective) contre Facebook. La réclamation prétend que Facebook était conscient que sa plateforme pouvait promptement et aisément être utilisée par une tierce partie pour voler les informations personnelles des utilisateurs. 
En juillet 2018 Facebook connait une chute de plus de 100 milliards de $, à la suite de l'annonce de ses résultats inférieurs aux attentes. 
En avril 2019, Facebook confirme à l'agence Reuters que l'entreprise travaille au développement de son propre assistant vocal qui pourra fonctionner sur toute sa gamme de produits y compris Portal, Oculus. 
En août 2020, Facebook a lancé son plan de fusion des services de chat d'Instagram et de Messenger pour les versions iOS et Android. Le plan a été initialement révélé au début de 2019 pour les appareils mobiles.
En décembre 2020, le ministère de la Justice américain dépose une action en justice contre Facebook pour avoir prétendument discriminé les travailleurs américains. Le DOJ publie une déclaration sur le procès détaillant les accusations portées contre l'entreprise, qui, selon lui, a favorisé les travailleurs étrangers pour ne pas payer des salaires plus élevés aux travailleurs américains.
Le 9 décembre 2020, une plainte a été déposée par la Federal Trade Commission (FTC) et une coalition de 48 Etats, contre Facebook, pour entrave à la concurrence. Ils demandent à la justice américaine de forcer le réseau social de se séparer de WhatsApp et Instagram, lesquels, ont été rachetés respectivement en 2014 et 2012 pour 19 et 1 milliards de dollars. 
Le 4 octobre 2021 peu avant 16h (UTC+1), une panne mondiale touche le réseau social Facebook ainsi que certaines autres filiales du groupe comme Instagram, WhatsApp et Messenger, empêchant les utilisateurs d'accéder à ces derniers. 
Le 28 octobre 2021, l'entreprise change de nom et devient désormais « Meta » afin de dissocier encore mieux le réseau social et l'entreprise, dans un contexte de pressions internationales liées entre autres aux fuites internes dévoilées par la lanceuse d'alerte Frances Haugen,.
En 2021, Mark Zuckerberg et Matthew Sparkes annoncent que Meta va devenir, ou au moins engendrer, un métavers appelé Horizon un projet Metavers, basé sur des outils de réalité virtuelle avancés et/ou des univers de réalité augmentée, à l'image du film Ready Player One.
En 2021, Meta a dépensé plus de 10 milliards de dollars dans son projet de Metaverse mais n’a généré que 2,3 milliards de dollars de chiffre d’affaires."
1, Meta Quest.,0.8516406416893005,<WikipediaPage 'Meta (entreprise)'>,"

Facebook a depuis sa fondation, comme Google et Apple, racheté de nombreuses entreprises pour alimenter sa croissance, élargir sa base d'utilisateurs et développer de nouvelles technologies. Parmi ses acquisitions on peut citer Instagram, WhatsApp et Meta Quest."
